Measurement time,Year,Month,WaterYear,TWtrQuadraLimpetQ_level,TWtrQuadraLimpetQ_flags,TWtrQuadraLimpetUNESCO_Q_level,TWtrQuadraLimpet,TWtrQuadraLimpetMed,TWtrQuadraLimpetAvg,TWtrQuadraLimpetMin,TWtrQuadraLimpetMax
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
measurementTime,Year,Month,WaterYear,QuadraLimpet,QuadraLimpet,QuadraLimpet,QuadraLimpet,QuadraLimpet,QuadraLimpet,QuadraLimpet,QuadraLimpet
measurementTime,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-12-10 19:00:00,2015,Dec,2015-2016,1,,2,9.016064,9.012985,9.01168175,8.994142,9.020467
2015-12-10 20:00:00,2015,Dec,2015-2016,1,,2,9.013079,9.025962,9.025088,9.008558,9.037313
2015-12-10 21:00:00,2015,Dec,2015-2016,1,,2,9.015225,9.032449,9.0312765,9.015225,9.037845
2015-12-10 22:00:00,2015,Dec,2015-2016,1,,2,9.031169,9.0167185,9.00830241666667,8.964135,9.031169
2015-12-10 23:00:00,2015,Dec,2015-2016,1,,2,9.030158,9.0279695,9.02777933333333,9.023105,9.031984
2015-12-11 00:00:00,2015,Dec,2015-2016,1,,2,9.025648,9.0317565,9.03315633333334,9.025648,9.042408
2015-12-11 01:00:00,2015,Dec,2015-2016,1,,2,9.060165,9.0562825,9.05197641666667,9.028905,9.069406
2015-12-11 02:00:00,2015,Dec,2015-2016,1,,2,9.105282,9.094245,9.09298758333333,9.07635,9.10782
2015-12-11 03:00:00,2015,Dec,2015-2016,1,,2,9.122112,9.1139635,9.11442033333333,9.109375,9.122112
2015-12-11 04:00:00,2015,Dec,2015-2016,1,,2,9.144967,9.121266,9.12541441666667,9.11185,9.144967
2015-12-11 05:00:00,2015,Dec,2015-2016,1,,2,9.126288,9.136807,9.13654833333333,9.126288,9.145005
2015-12-11 06:00:00,2015,Dec,2015-2016,1,,2,9.152788,9.1539875,9.14590916666667,9.12311,9.168223
2015-12-11 07:00:00,2015,Dec,2015-2016,1,,2,9.155285,9.1556785,9.15604566666667,9.154513,9.158844
2015-12-11 08:00:00,2015,Dec,2015-2016,1,,2,9.158124,9.157273,9.15697625,9.149981,9.162309
2015-12-11 09:00:00,2015,Dec,2015-2016,1,,2,9.190187,9.1678925,9.17043241666667,9.160013,9.190187
2015-12-11 10:00:00,2015,Dec,2015-2016,1,,2,9.188128,9.182103,9.18358475,9.181469,9.191808
2015-12-11 11:00:00,2015,Dec,2015-2016,1,,2,9.193533,9.1947685,9.19374591666667,9.186422,9.200233
2015-12-11 12:00:00,2015,Dec,2015-2016,1,,2,9.173735,9.1745995,9.17825908333333,9.172705,9.192645
2015-12-11 13:00:00,2015,Dec,2015-2016,1,,2,9.189197,9.1938795,9.19356758333333,9.189197,9.195697
2015-12-11 14:00:00,2015,Dec,2015-2016,1,,2,9.179386,9.1814595,9.18189575,9.179027,9.189595
2015-12-11 15:00:00,2015,Dec,2015-2016,1,,2,9.172093,9.1773025,9.17687108333333,9.172093,9.179326
2015-12-11 16:00:00,2015,Dec,2015-2016,1,,2,9.16998,9.1771845,9.17659208333333,9.16998,9.18019
2015-12-11 17:00:00,2015,Dec,2015-2016,1,,2,9.164188,9.163524,9.16369575,9.162902,9.164932
2015-12-11 18:00:00,2015,Dec,2015-2016,1,,2,9.171373,9.16459,9.16563025,9.16313,9.171373
2015-12-11 19:00:00,2015,Dec,2015-2016,1,,2,9.171601,9.1734835,9.173227,9.171601,9.174227
2015-12-11 20:00:00,2015,Dec,2015-2016,1,,2,9.169562,9.171601,9.17122216666666,9.169562,9.172136
2015-12-11 21:00:00,2015,Dec,2015-2016,1,,2,9.172031,9.173054,9.17274466666667,9.170482,9.173917
2015-12-11 22:00:00,2015,Dec,2015-2016,1,,2,9.15843,9.1638715,9.16548916666667,9.15843,9.172057
2015-12-11 23:00:00,2015,Dec,2015-2016,1,,2,9.155963,9.155566,9.15648808333333,9.153278,9.160414
2015-12-12 00:00:00,2015,Dec,2015-2016,1,,2,9.138576,9.1483855,9.1477605,9.136806,9.158327
2015-12-12 01:00:00,2015,Dec,2015-2016,1,,2,9.134535,9.1364375,9.13648525,9.133169,9.139497
