Date,Temp
5/14/92,10.2
5/15/92,10.7
5/16/92,10.7
5/17/92,11.0
5/18/92,11.5
5/19/92,12.7
5/20/92,12.5
5/21/92,10.5
5/22/92,10.4
5/23/92,10.7
5/24/92,11.0
5/25/92,10.9
5/26/92,10.7
5/27/92,10.2
5/28/92,10.1
5/29/92,9.6
5/30/92,9.4
5/31/92,9.9
6/1/92,10.5
6/2/92,10.1
6/3/92,10.6
6/4/92,10.2
6/5/92,10.2
6/6/92,10.6
6/7/92,10.9
6/8/92,10.7
6/9/92,10.5
6/10/92,10.3
6/11/92,10.4
6/12/92,10.8
6/13/92,11.2
6/14/92,10.5
6/15/92,9.8
6/16/92,9.6
6/17/92,9.7
6/18/92,9.8
6/19/92,9.9
6/20/92,9.6
6/21/92,10.0
6/22/92,10.9
6/23/92,11.0
6/24/92,10.9
6/25/92,11.5
6/26/92,11.6
6/27/92,12.0
6/28/92,12.6
6/29/92,13.2
6/30/92,13.1
7/1/92,12.6
7/2/92,12.7
7/3/92,12.3
7/4/92,12.5
7/5/92,12.3
7/6/92,11.5
7/7/92,11.5
7/8/92,11.7
7/9/92,11.2
7/10/92,11.1
7/11/92,11.4
7/12/92,11.7
7/13/92,12.5
7/14/92,12.3
7/15/92,12.5
7/16/92,12.5
7/17/92,12.4
7/18/92,12.8
7/19/92,13.1
7/20/92,12.9
7/21/92,12.4
7/22/92,11.7
7/23/92,10.6
7/24/92,10.3
7/25/92,10.4
7/26/92,10.7
7/27/92,10.6
7/28/92,10.6
7/29/92,10.7
7/30/92,11.0
7/31/92,11.1
8/1/92,11.2
8/2/92,11.1
8/3/92,11.0
8/4/92,11.0
8/5/92,10.6
8/6/92,10.5
8/7/92,10.6
8/8/92,10.7
8/9/92,10.6
8/10/92,10.3
8/11/92,10.7
8/12/92,11.2
8/13/92,11.5
8/14/92,12.4
8/15/92,13.0
8/16/92,11.9
8/17/92,10.9
8/18/92,10.8
8/19/92,10.6
8/20/92,10.3
8/21/92,10.3
8/22/92,10.2
8/23/92,10.0
8/24/92,10.3
8/25/92,11.4
8/26/92,11.6
8/27/92,11.7
8/28/92,11.6
8/29/92,11.9
8/30/92,12.3
8/31/92,12.0
9/1/92,12.1
9/2/92,12.0
9/3/92,12.0
9/4/92,12.2
9/5/92,11.6
9/6/92,10.8
9/7/92,10.6
9/8/92,10.6
9/9/92,10.5
9/10/92,10.9
9/11/92,11.4
9/12/92,11.1
9/13/92,10.5
9/14/92,11.0
9/15/92,11.2
9/16/92,11.0
9/17/92,11.3
9/18/92,11.6
9/19/92,12.0
9/20/92,12.1
9/21/92,12.3
9/22/92,12.6
9/23/92,12.9
9/24/92,12.7
9/25/92,11.4
9/26/92,10.7
9/27/92,11.4
9/28/92,11.9
9/29/92,11.9
9/30/92,12.7
10/1/92,13.1
10/2/92,13.3
10/3/92,13.9
10/4/92,13.2
10/5/92,12.8
10/6/92,13.0
10/7/92,12.8
10/8/92,12.8
10/9/92,12.4
10/10/92,12.4
10/11/92,12.5
10/12/92,12.4
10/13/92,12.4
10/14/92,12.0
10/15/92,12.5
10/16/92,12.3
10/17/92,12.2
10/18/92,12.2
10/19/92,12.2
10/20/92,13.2
10/21/92,13.2
10/22/92,12.9
10/23/92,12.6
10/24/92,12.2
10/25/92,12.3
10/26/92,12.6
10/27/92,12.3
10/28/92,12.7
10/29/92,13.1
10/30/92,13.0
10/31/92,13.4
11/1/92,14.0
11/2/92,14.1
11/3/92,13.5
11/4/92,13.3
11/5/92,13.1
11/6/92,12.4
11/7/92,12.1
11/8/92,11.2
11/9/92,10.8
11/10/92,10.8
11/11/92,11.0
11/12/92,11.1
11/13/92,11.3
11/14/92,11.9
11/15/92,11.9
11/16/92,11.9
11/17/92,12.4
11/18/92,12.5
11/19/92,12.4
11/20/92,12.0
11/21/92,12.0
11/22/92,12.2
11/23/92,11.6
11/24/92,11.4
11/25/92,11.9
11/26/92,12.6
11/27/92,12.8
11/28/92,12.3
11/29/92,12.0
11/30/92,11.9
12/1/92,12.1
12/2/92,12.4
12/3/92,12.0
12/4/92,11.9
12/5/92,11.9
12/6/92,12.1
12/7/92,12.4
12/8/92,12.4
12/9/92,12.5
12/10/92,12.5
12/11/92,12.5
12/12/92,12.6
12/13/92,12.5
12/14/92,12.4
12/15/92,12.1
12/16/92,11.8
12/17/92,11.9
12/18/92,11.7
12/19/92,11.5
12/20/92,11.6
12/21/92,11.7
12/22/92,11.7
12/23/92,11.7
12/24/92,11.8
12/25/92,11.8
12/26/92,11.8
12/27/92,11.8
12/28/92,11.8
12/29/92,11.8
12/30/92,11.7
12/31/92,11.8
1/1/93,11.8
1/2/93,11.8
1/3/93,11.8
1/4/93,11.7
1/5/93,11.7
1/6/93,11.6
1/7/93,11.6
1/8/93,11.6
1/9/93,11.6
1/10/93,11.6
1/11/93,11.4
1/12/93,11.3
1/13/93,11.4
1/14/93,11.7
1/15/93,11.6
1/16/93,11.6
1/17/93,11.6
1/18/93,11.5
1/19/93,11.5
1/20/93,11.7
1/21/93,11.8
1/22/93,11.9
1/23/93,11.8
1/24/93,11.8
1/25/93,11.8
1/26/93,11.8
1/27/93,11.8
1/28/93,11.9
1/29/93,11.8
1/30/93,11.7
1/31/93,11.6
2/1/93,11.7
2/2/93,11.7
2/3/93,11.8
2/4/93,11.8
2/5/93,12.0
2/6/93,12.1
2/7/93,12.1
2/8/93,12.2
2/9/93,12.1
2/10/93,12.1
2/11/93,12.1
2/12/93,12.2
2/13/93,12.2
2/14/93,12.2
2/15/93,12.1
2/16/93,12.0
2/17/93,11.9
2/18/93,12.0
2/19/93,12.1
2/20/93,12.1
2/21/93,12.1
2/22/93,12.1
2/23/93,12.1
2/24/93,12.1
2/25/93,12.1
2/26/93,12.0
2/27/93,11.9
2/28/93,12.0
3/1/93,12.1
3/2/93,12.1
3/3/93,12.2
3/4/93,12.2
3/5/93,12.1
3/6/93,12.0
3/7/93,12.0
3/8/93,12.0
3/9/93,12.2
3/10/93,12.3
3/11/93,12.3
3/12/93,12.2
3/13/93,12.1
3/14/93,12.3
3/15/93,12.4
3/16/93,12.3
3/17/93,12.6
3/18/93,12.7
3/19/93,12.6
3/20/93,12.5
3/21/93,12.1
3/22/93,12.0
3/23/93,12.1
3/24/93,12.0
3/25/93,12.0
3/26/93,11.4
3/27/93,10.8
3/28/93,11.0
3/29/93,10.8
3/30/93,10.8
3/31/93,11.1
4/1/93,11.6
4/2/93,11.5
4/3/93,11.7
4/4/93,11.8
4/5/93,11.6
4/6/93,11.7
4/7/93,11.9
4/8/93,12.2
4/9/93,12.0
4/10/93,11.9
4/11/93,10.5
4/12/93,9.7
4/13/93,9.7
4/14/93,9.8
4/15/93,9.9
4/16/93,9.7
4/17/93,10.5
4/18/93,10.7
4/19/93,10.3
4/20/93,10.3
4/21/93,10.2
4/22/93,10.3
4/23/93,9.8
4/24/93,10.1
4/25/93,10.2
4/26/93,9.9
4/27/93,9.6
4/28/93,9.3
4/29/93,9.2
4/30/93,8.8
5/1/93,8.4
5/2/93,8.2
5/3/93,8.7
5/4/93,8.9
5/5/93,8.6
5/6/93,8.8
5/7/93,8.8
5/8/93,8.9
5/9/93,8.8
5/10/93,9.0
5/11/93,9.0
5/12/93,9.5
5/13/93,10.4
5/14/93,11.3
5/15/93,11.6
5/16/93,11.3
5/17/93,11.4
5/18/93,11.9
5/19/93,12.5
5/20/93,12.9
5/21/93,13.0
5/22/93,12.4
5/23/93,12.2
5/24/93,12.2
5/25/93,13.2
5/26/93,13.6
5/27/93,13.9
5/28/93,14.2
5/29/93,14.4
5/30/93,14.6
5/31/93,14.8
6/1/93,15.0
6/2/93,14.6
6/3/93,13.4
6/4/93,13.4
6/5/93,13.0
6/6/93,12.0
6/7/93,11.4
6/8/93,10.6
6/9/93,10.0
6/10/93,9.8
6/11/93,9.2
6/12/93,8.9
6/13/93,9.0
6/14/93,8.8
6/15/93,8.6
6/16/93,8.2
6/17/93,8.3
6/18/93,9.3
6/19/93,9.6
6/20/93,9.6
6/21/93,9.2
6/22/93,8.7
6/23/93,8.4
6/24/93,8.2
6/25/93,8.6
6/26/93,8.9
6/27/93,8.8
6/28/93,8.4
6/29/93,8.2
6/30/93,8.3
7/1/93,8.3
7/2/93,8.2
7/3/93,8.1
7/4/93,8.1
7/5/93,8.5
7/6/93,9.2
7/7/93,9.9
7/8/93,10.4
7/9/93,10.5
7/10/93,10.6
7/11/93,11.0
7/12/93,10.7
7/13/93,10.0
7/14/93,9.2
7/15/93,9.0
7/16/93,9.1
7/17/93,9.1
7/18/93,9.0
7/19/93,9.2
7/20/93,9.5
7/21/93,9.8
7/22/93,9.9
7/23/93,9.9
7/24/93,9.7
7/25/93,9.8
7/26/93,10.1
7/27/93,11.0
7/28/93,11.5
7/29/93,11.9
7/30/93,11.6
7/31/93,10.9
8/1/93,10.1
8/2/93,10.3
8/3/93,11.1
8/4/93,12.1
8/5/93,12.9
8/6/93,13.0
8/7/93,12.6
8/8/93,12.4
8/9/93,12.6
8/10/93,12.3
8/11/93,11.4
8/12/93,11.3
8/13/93,11.4
8/14/93,11.3
8/15/93,11.4
8/16/93,11.4
8/17/93,11.2
8/18/93,10.6
8/19/93,10.2
8/20/93,10.4
8/21/93,10.5
8/22/93,10.5
8/23/93,10.3
8/24/93,9.6
8/25/93,9.4
8/26/93,9.7
8/27/93,9.9
8/28/93,10.1
8/29/93,10.5
8/30/93,11.2
8/31/93,11.7
9/1/93,12.1
9/2/93,11.9
9/3/93,11.8
9/4/93,11.9
9/5/93,11.9
9/6/93,12.1
9/7/93,12.2
9/8/93,12.5
9/9/93,12.4
9/10/93,11.6
9/11/93,10.7
9/12/93,10.0
9/13/93,10.2
9/14/93,10.7
9/15/93,11.7
9/16/93,12.3
9/17/93,11.9
9/18/93,11.6
9/19/93,11.1
9/20/93,10.8
9/21/93,11.0
9/22/93,11.1
9/23/93,11.0
9/24/93,11.1
9/25/93,11.2
9/26/93,11.2
9/27/93,10.8
9/28/93,10.6
9/29/93,10.6
9/30/93,10.7
10/1/93,10.7
10/2/93,10.4
10/3/93,10.2
10/4/93,10.2
10/5/93,10.3
10/6/93,10.5
10/7/93,10.7
10/8/93,10.7
10/9/93,10.5
10/10/93,10.9
10/11/93,12.1
10/12/93,12.7
10/13/93,12.2
10/14/93,12.3
10/15/93,12.3
10/16/93,12.2
10/17/93,11.9
10/18/93,11.8
10/19/93,11.9
10/20/93,11.9
10/21/93,11.9
10/22/93,11.9
10/23/93,12.0
10/24/93,12.1
10/25/93,12.1
10/26/93,12.1
10/27/93,12.2
10/28/93,12.5
10/29/93,12.7
10/30/93,13.2
10/31/93,13.2
11/1/93,12.8
11/2/93,12.9
11/3/93,12.8
11/4/93,12.2
11/5/93,11.9
11/6/93,11.8
11/7/93,11.8
11/8/93,12.4
11/9/93,13.0
11/10/93,13.2
11/11/93,13.1
11/12/93,12.4
11/13/93,11.7
11/14/93,11.3
11/15/93,11.4
11/16/93,11.6
11/17/93,11.7
11/18/93,11.9
11/19/93,12.3
11/20/93,12.3
11/21/93,12.3
11/22/93,12.3
11/23/93,12.0
11/24/93,11.9
11/25/93,12.1
11/26/93,12.2
11/27/93,12.2
11/28/93,12.2
11/29/93,12.3
11/30/93,12.3
12/1/93,12.2
12/2/93,12.2
12/3/93,12.1
12/4/93,12.1
12/5/93,11.9
12/6/93,11.8
12/7/93,12.0
12/8/93,12.3
12/9/93,12.3
12/10/93,12.5
12/11/93,12.6
12/12/93,12.5
12/13/93,12.4
12/14/93,12.5
12/15/93,12.5
12/16/93,12.3
12/17/93,12.1
12/18/93,11.9
12/19/93,11.9
12/20/93,12.0
12/21/93,12.1
12/22/93,12.1
12/23/93,12.1
12/24/93,12.1
12/25/93,11.9
12/26/93,11.9
12/27/93,12.1
12/28/93,12.5
12/29/93,12.5
12/30/93,12.5
12/31/93,12.4
1/1/94,12.3
1/2/94,12.4
1/3/94,12.4
1/4/94,12.3
1/5/94,12.3
1/6/94,12.2
1/7/94,12.0
1/8/94,12.1
1/9/94,12.1
1/10/94,12.1
1/11/94,11.9
1/12/94,11.8
1/13/94,11.9
1/14/94,11.9
1/15/94,11.9
1/16/94,11.8
1/17/94,12.0
1/18/94,12.0
1/19/94,12.1
1/20/94,12.1
1/21/94,12.1
1/22/94,12.1
1/23/94,12.2
1/24/94,12.2
1/25/94,12.2
1/26/94,12.2
1/27/94,12.2
1/28/94,12.1
1/29/94,12.1
1/30/94,12.1
1/31/94,11.9
2/1/94,11.8
2/2/94,11.9
2/3/94,11.9
2/4/94,11.9
2/5/94,12.0
2/6/94,12.0
2/7/94,12.0
2/8/94,12.2
2/9/94,12.2
2/10/94,12.1
2/11/94,11.9
2/12/94,11.8
2/13/94,11.8
2/14/94,11.8
2/15/94,11.7
2/16/94,11.8
2/17/94,11.8
2/18/94,12.0
2/19/94,11.9
2/20/94,11.7
2/21/94,11.8
2/22/94,11.9
2/23/94,12.0
2/24/94,12.0
2/25/94,11.9
2/26/94,11.9
2/27/94,11.8
2/28/94,11.8
3/1/94,11.8
3/2/94,11.7
3/3/94,11.7
3/4/94,11.8
3/5/94,11.8
3/6/94,11.6
3/7/94,11.6
3/8/94,11.9
3/9/94,12.0
3/10/94,11.9
3/11/94,11.4
3/12/94,11.2
3/13/94,11.2
3/14/94,11.3
3/15/94,11.3
3/16/94,11.5
3/17/94,11.1
3/18/94,11.1
3/19/94,10.8
3/20/94,10.2
3/21/94,10.2
3/22/94,9.9
3/23/94,9.8
3/24/94,10.6
3/25/94,10.9
3/26/94,10.8
3/27/94,10.9
3/28/94,11.3
3/29/94,11.3
3/30/94,11.2
3/31/94,10.8
4/1/94,10.5
4/2/94,10.3
4/3/94,9.9
4/4/94,9.5
4/5/94,9.2
4/6/94,9.3
4/7/94,9.5
4/8/94,9.7
4/9/94,9.7
4/10/94,9.4
4/11/94,9.4
4/12/94,9.4
4/13/94,9.4
4/14/94,9.0
4/15/94,8.8
4/16/94,9.3
4/17/94,10.4
4/18/94,10.2
4/19/94,9.9
4/20/94,9.8
4/21/94,9.8
4/22/94,9.5
4/23/94,9.5
4/24/94,9.2
4/25/94,9.5
4/26/94,9.5
4/27/94,9.0
4/28/94,9.0
4/29/94,9.2
4/30/94,9.1
5/1/94,8.9
5/2/94,9.0
5/3/94,9.3
5/4/94,9.8
5/5/94,10.0
5/6/94,9.9
5/7/94,10.7
5/8/94,10.9
5/9/94,10.7
5/10/94,10.4
5/11/94,9.7
5/12/94,9.0
5/13/94,8.7
5/14/94,8.5
5/15/94,8.6
5/16/94,8.8
5/17/94,8.9
5/18/94,8.8
5/19/94,9.0
5/20/94,9.4
5/21/94,9.8
5/22/94,9.3
5/23/94,9.3
5/24/94,9.1
5/25/94,8.9
5/26/94,8.5
5/27/94,8.3
5/28/94,8.4
5/29/94,8.4
5/30/94,8.3
5/31/94,8.8
6/1/94,9.1
6/2/94,9.0
6/3/94,9.2
6/4/94,9.4
6/5/94,9.6
6/6/94,10.6
6/7/94,10.2
6/8/94,9.8
6/9/94,9.5
6/10/94,9.2
6/11/94,9.3
6/12/94,9.2
6/13/94,9.4
6/14/94,9.2
6/15/94,8.6
6/16/94,8.5
6/17/94,8.5
6/18/94,8.3
6/19/94,8.3
6/20/94,8.5
6/21/94,9.0
6/22/94,9.1
6/23/94,9.0
6/24/94,8.9
6/25/94,8.6
6/26/94,8.5
6/27/94,9.0
6/28/94,9.5
6/29/94,8.8
6/30/94,8.7
7/1/94,8.6
7/2/94,8.6
7/3/94,8.6
7/4/94,8.6
7/5/94,8.5
7/6/94,8.9
7/7/94,9.0
7/8/94,9.0
7/9/94,9.4
7/10/94,9.9
7/11/94,9.8
7/12/94,9.3
7/13/94,9.0
7/14/94,8.9
7/15/94,9.0
7/16/94,9.6
7/17/94,10.0
7/18/94,10.3
7/19/94,10.7
7/20/94,11.3
7/21/94,11.7
7/22/94,12.1
7/23/94,12.2
7/24/94,12.1
7/25/94,12.0
7/26/94,11.5
7/27/94,11.0
7/28/94,10.5
7/29/94,10.1
7/30/94,9.7
7/31/94,9.8
8/1/94,10.3
8/2/94,10.5
8/3/94,10.0
8/4/94,9.8
8/5/94,9.6
8/6/94,9.5
8/7/94,9.6
8/8/94,9.2
8/9/94,9.4
8/10/94,9.6
8/11/94,9.5
8/12/94,9.7
8/13/94,9.6
8/14/94,9.7
8/15/94,9.7
8/16/94,9.4
8/17/94,9.2
8/18/94,9.4
8/19/94,9.6
8/20/94,9.4
8/21/94,9.1
8/22/94,9.5
8/23/94,10.1
8/24/94,10.4
8/25/94,10.9
8/26/94,11.1
8/27/94,10.8
8/28/94,11.4
8/29/94,11.8
8/30/94,11.4
8/31/94,10.8
9/1/94,10.1
9/2/94,10.2
9/3/94,10.3
9/4/94,10.2
9/5/94,10.5
9/6/94,11.5
9/7/94,12.1
9/8/94,11.9
9/9/94,12.0
9/10/94,11.9
9/11/94,12.0
9/12/94,12.3
9/13/94,12.1
9/14/94,11.4
9/15/94,10.6
9/16/94,10.8
9/17/94,10.9
9/18/94,11.3
9/19/94,11.4
9/20/94,12.0
9/21/94,11.9
9/22/94,12.0
9/23/94,11.8
9/24/94,11.7
9/25/94,11.9
9/26/94,11.6
9/27/94,11.9
9/28/94,12.5
9/29/94,12.9
9/30/94,12.6
10/1/94,12.2
10/2/94,12.3
10/3/94,12.4
10/4/94,12.2
10/5/94,12.8
10/6/94,12.2
10/7/94,12.4
10/8/94,13.0
10/9/94,12.9
10/10/94,12.6
10/11/94,12.0
10/12/94,11.5
10/13/94,10.6
10/14/94,10.2
10/15/94,9.5
10/16/94,9.0
10/17/94,9.3
10/18/94,9.7
10/19/94,9.8
10/20/94,9.8
10/21/94,9.9
10/22/94,9.9
10/23/94,10.3
10/24/94,11.1
10/25/94,10.8
10/26/94,10.7
10/27/94,11.1
10/28/94,11.2
10/29/94,10.6
10/30/94,10.2
10/31/94,10.1
11/1/94,10.2
11/2/94,9.9
11/3/94,9.6
11/4/94,9.5
11/5/94,9.8
11/6/94,10.8
11/7/94,10.8
11/8/94,10.5
11/9/94,11.1
11/10/94,10.8
11/11/94,10.5
11/12/94,10.6
11/13/94,10.5
11/14/94,10.5
